<name>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i>
Сбербанк,03/04/16,00:00,107.70,109.02,106.70,108.99,8428802,0
Сбербанк,03/07/16,00:00,109.62,110.20,108.57,109.47,7502108,0
Сбербанк,03/09/16,00:00,108.99,109.07,107.50,108.15,7241998,0
Сбербанк,03/10/16,00:00,108.26,109.90,107.67,108.84,9499480,0
Сбербанк,03/11/16,00:00,109.20,109.95,108.55,109.26,6133121,0
Сбербанк,03/14/16,00:00,109.28,109.56,108.40,109.26,6648100,0
Сбербанк,03/15/16,00:00,109.60,110.29,106.09,106.46,12704383,0
Сбербанк,03/16/16,00:00,107.20,107.27,106.12,107.00,7583506,0
Сбербанк,03/17/16,00:00,107.80,109.49,107.70,109.47,9299739,0
Сбербанк,03/18/16,00:00,109.59,112.50,108.91,112.40,13463075,0
Сбербанк,03/21/16,00:00,111.50,112.92,110.50,112.07,11556525,0
Сбербанк,03/22/16,00:00,112.27,114.19,111.00,111.49,10752608,0
Сбербанк,03/23/16,00:00,111.27,112.10,108.70,109.10,10418574,0
Сбербанк,03/24/16,00:00,108.59,109.29,107.05,108.06,9343981,0
Сбербанк,03/25/16,00:00,108.62,109.50,108.62,109.10,3297967,0
Сбербанк,03/28/16,00:00,110.00,110.11,107.69,108.12,5013041,0
Сбербанк,03/29/16,00:00,107.91,108.44,105.35,107.05,8683558,0
Сбербанк,03/30/16,00:00,107.98,109.91,107.52,109.15,8447272,0
Сбербанк,03/31/16,00:00,108.72,110.59,107.32,109.90,10659012,0
Сбербанк,04/01/16,00:00,109.30,109.40,107.01,108.52,10127622,0
Сбербанк,04/04/16,00:00,108.21,109.69,107.10,108.20,8045817,0
Сбербанк,04/05/16,00:00,107.24,107.64,106.00,106.87,7565598,0
Сбербанк,04/06/16,00:00,107.63,108.30,107.05,108.00,7557753,0
Сбербанк,04/07/16,00:00,108.99,109.38,107.62,108.51,8029552,0
Сбербанк,04/08/16,00:00,108.98,113.30,108.56,112.92,12445044,0
Сбербанк,04/11/16,00:00,113.00,117.85,112.62,117.35,15070943,0
Сбербанк,04/12/16,00:00,117.27,119.39,115.82,117.95,12103352,0
Сбербанк,04/13/16,00:00,118.10,119.95,117.35,119.50,10345065,0
Сбербанк,04/14/16,00:00,119.01,119.55,117.89,119.30,8798634,0
Сбербанк,04/15/16,00:00,118.95,119.91,118.11,119.30,7046493,0
Сбербанк,04/18/16,00:00,117.12,118.20,116.01,118.20,9182801,0
Сбербанк,04/19/16,00:00,118.90,123.35,118.78,121.50,13782835,0
Сбербанк,04/20/16,00:00,120.50,123.97,119.90,123.75,10445436,0
Сбербанк,04/21/16,00:00,124.99,125.55,118.20,119.17,18198988,0
Сбербанк,04/22/16,00:00,119.68,121.39,117.90,121.25,10303362,0
Сбербанк,04/25/16,00:00,121.01,121.51,119.60,120.08,6735369,0
Сбербанк,04/26/16,00:00,119.98,119.98,116.75,119.70,8758298,0
Сбербанк,04/27/16,00:00,120.25,122.37,119.57,120.80,9077627,0
Сбербанк,04/28/16,00:00,121.31,124.39,120.00,124.39,8614527,0
Сбербанк,04/29/16,00:00,124.43,125.78,122.00,123.55,10284500,0
Сбербанк,05/04/16,00:00,121.50,122.39,119.31,120.96,8491983,0
Сбербанк,05/05/16,00:00,121.46,122.30,120.40,120.92,5606723,0
Сбербанк,05/06/16,00:00,120.27,120.86,118.41,120.64,7032451,0
Сбербанк,05/10/16,00:00,119.80,121.35,118.57,119.55,6614264,0
Сбербанк,05/11/16,00:00,120.01,123.62,119.57,123.45,8540452,0
Сбербанк,05/12/16,00:00,123.46,124.38,121.01,121.20,8220185,0
Сбербанк,05/13/16,00:00,121.50,121.95,119.69,121.07,6373084,0
Сбербанк,05/16/16,00:00,122.20,123.62,121.63,122.60,5917191,0
Сбербанк,05/17/16,00:00,122.85,123.27,120.60,122.71,7250510,0
Сбербанк,05/18/16,00:00,122.49,123.54,121.83,123.12,5004746,0
Сбербанк,05/19/16,00:00,121.96,122.17,120.30,120.50,7243704,0
Сбербанк,05/20/16,00:00,121.83,122.47,120.80,121.90,5401428,0
Сбербанк,05/23/16,00:00,121.30,122.20,120.12,121.51,5640897,0
Сбербанк,05/24/16,00:00,121.45,124.07,121.35,123.50,5689749,0
Сбербанк,05/25/16,00:00,124.45,128.55,124.41,127.87,11407367,0
Сбербанк,05/26/16,00:00,128.54,133.05,126.90,132.16,12531074,0
Сбербанк,05/27/16,00:00,131.62,134.79,131.35,133.20,8717515,0
Сбербанк,05/30/16,00:00,133.51,135.08,132.55,134.45,3757508,0
Сбербанк,05/31/16,00:00,134.79,135.98,132.56,132.56,9336302,0
Сбербанк,06/01/16,00:00,132.36,133.21,131.31,131.36,6416511,0
Сбербанк,06/02/16,00:00,131.51,133.08,130.51,132.30,6394730,0
Сбербанк,06/03/16,00:00,133.07,134.44,131.04,131.59,6820263,0
Сбербанк,06/06/16,00:00,132.08,134.74,132.00,133.99,4866604,0
Сбербанк,06/07/16,00:00,134.50,139.97,134.02,139.97,10120530,0
Сбербанк,06/08/16,00:00,141.12,142.00,137.44,139.39,8854095,0
Сбербанк,06/09/16,00:00,139.90,140.71,137.07,139.61,5659730,0
Сбербанк,06/10/16,00:00,137.80,137.94,133.35,133.50,6456943,0
Сбербанк,06/14/16,00:00,131.22,132.37,126.15,127.08,10938957,0
Сбербанк,06/15/16,00:00,126.90,130.23,126.61,129.89,8032494,0
Сбербанк,06/16/16,00:00,129.00,129.24,125.85,127.10,6716763,0
Сбербанк,06/17/16,00:00,128.66,130.75,128.49,128.70,6679667,0
Сбербанк,06/20/16,00:00,132.45,133.48,131.20,132.13,4792158,0
Сбербанк,06/21/16,00:00,132.10,133.43,129.94,133.39,5240931,0
Сбербанк,06/22/16,00:00,134.61,135.79,133.51,134.81,4545911,0
Сбербанк,06/23/16,00:00,134.42,138.28,133.89,138.00,5516386,0
Сбербанк,06/24/16,00:00,131.50,133.50,129.12,133.40,10740579,0
Сбербанк,06/27/16,00:00,133.90,134.83,125.35,126.20,11744773,0
Сбербанк,06/28/16,00:00,127.85,129.71,125.70,129.57,9128818,0
Сбербанк,06/29/16,00:00,130.63,133.95,129.82,133.88,6721618,0
Сбербанк,06/30/16,00:00,133.65,135.34,131.14,133.00,8695552,0
Сбербанк,07/01/16,00:00,133.38,134.34,131.55,133.85,6456229,0
Сбербанк,07/04/16,00:00,134.65,135.84,133.80,134.60,3797479,0
Сбербанк,07/05/16,00:00,133.90,133.90,131.73,131.85,4424096,0
Сбербанк,07/06/16,00:00,131.51,132.04,127.85,129.36,7046097,0
Сбербанк,07/07/16,00:00,130.49,133.50,130.02,131.80,7752492,0
Сбербанк,07/08/16,00:00,130.63,134.49,130.35,134.41,7576339,0
Сбербанк,07/11/16,00:00,134.92,137.77,134.52,137.20,6983636,0
